"HGNC ID","Status","Approved symbol","Approved name","Chromosome location","Orphanet ID","OMIM ID"
"HGNC:32","Approved","ABCA2","ATP binding cassette subfamily A member 2","9q34.3",,600047
"HGNC:33","Approved","ABCA3","ATP binding cassette subfamily A member 3","16p13.3",140560,601615
"HGNC:34","Approved","ABCA4","ATP binding cassette subfamily A member 4","1p22.1",117623,601691
"HGNC:35","Approved","ABCA5","ATP binding cassette subfamily A member 5","17q24.3",404800,612503
"HGNC:36","Approved","ABCA6","ATP binding cassette subfamily A member 6","17q24.2-q24.3",,612504
"HGNC:37","Approved","ABCA7","ATP binding cassette subfamily A member 7","19p13.3",,605414
"HGNC:38","Approved","ABCA8","ATP binding cassette subfamily A member 8","17q24.2",,612505
"HGNC:39","Approved","ABCA9","ATP binding cassette subfamily A member 9","17q24.2",,612507
"HGNC:39983","Approved","ABCA9-AS1","ABCA9 antisense RNA 1","17q24.2",,
"HGNC:30","Approved","ABCA10","ATP binding cassette subfamily A member 10","17q24.3",469886,612508
"HGNC:31","Approved","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene","4p16.3",,
"HGNC:14637","Approved","ABCA12","ATP binding cassette subfamily A member 12","2q35",117620,607800
"HGNC:14638","Approved","ABCA13","ATP binding cassette subfamily A member 13","7p12.3",,607807
"HGNC:32972","Approved","ABCA17P","ATP binding cassette subfamily A member 17, pseudogene","16p13.3",,
"HGNC:40","Approved","ABCB1","ATP binding cassette subfamily B member 1","7q21.12",318801,171050
"HGNC:45","Approved","ABCB4","ATP binding cassette subfamily B member 4","7q21.12",117639,171060
"HGNC:46","Approved","ABCB5","ATP binding cassette subfamily B member 5","7p21.1",,611785
"HGNC:47","Approved","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","2q35",291794,605452
"HGNC:48","Approved","ABCB7","ATP binding cassette subfamily B member 7","Xq13.3",117646,300135
"HGNC:49","Approved","ABCB8","ATP binding cassette subfamily B member 8","7q36.1",469888,605464
"HGNC:50","Approved","ABCB9","ATP binding cassette subfamily B member 9","12q24.31",,605453
"HGNC:41","Approved","ABCB10","ATP binding cassette subfamily B member 10","1q42.13",,605454
"HGNC:14114","Approved","ABCB10P1","ABCB10 pseudogene 1","15q11.2",,
"HGNC:31129","Approved","ABCB10P3","ABCB10 pseudogene 3","15q13.1",,
"HGNC:31130","Approved","ABCB10P4","ABCB10 pseudogene 4","15q13.1",,
"HGNC:42","Approved","ABCB11","ATP binding cassette subfamily B member 11","2q31.1",117631,603201
"HGNC:51","Approved","ABCC1","ATP binding cassette subfamily C member 1","16p13.11",469890,158343
"HGNC:53","Approved","ABCC2","ATP binding cassette subfamily C member 2","10q24.2",117652,601107
"HGNC:54","Approved","ABCC3","ATP binding cassette subfamily C member 3","17q21.33",469892,604323
"HGNC:55","Approved","ABCC4","ATP binding cassette subfamily C member 4","13q32.1",469894,605250
"HGNC:56","Approved","ABCC5","ATP binding cassette subfamily C member 5","3q27.1",,605251
"HGNC:40055","Approved","ABCC5-AS1","ABCC5 antisense RNA 1","3q27.1",,
"HGNC:57","Approved","ABCC6","ATP binding cassette subfamily C member 6","16p13.11",117658,603234
"HGNC:33352","Approved","ABCC6P1","ATP binding cassette subfamily C member 6 pseudogene 1","16p12.3",,
"HGNC:33353","Approved","ABCC6P2","ATP binding cassette subfamily C member 6 pseudogene 2","16p13.11",,
"HGNC:59","Approved","ABCC8","ATP binding cassette subfamily C member 8","11p15.1",117665,600509
"HGNC:60","Approved","ABCC9","ATP binding cassette subfamily C member 9","12p12.1",117673,601439
"HGNC:52","Approved","ABCC10","ATP binding cassette subfamily C member 10","6p21.1",,612509
"HGNC:14639","Approved","ABCC11","ATP binding cassette subfamily C member 11","16q12.1",,607040
"HGNC:14640","Approved","ABCC12","ATP binding cassette subfamily C member 12","16q12.1",,607041
"HGNC:16022","Approved","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)","21q11.2",,608835
"HGNC:61","Approved","ABCD1","ATP binding cassette subfamily D member 1","Xq28",117677,300371
"HGNC:62","Approved","ABCD1P1","ATP binding cassette subfamily D member 1 pseudogene 1","2p11.2",,
"HGNC:63","Approved","ABCD1P2","ATP binding cassette subfamily D member 1 pseudogene 2","10p11.1",,
"HGNC:64","Approved","ABCD1P3","ATP binding cassette subfamily D member 1 pseudogene 3","16p11.2",,
"HGNC:65","Approved","ABCD1P4","ATP binding cassette subfamily D member 1 pseudogene 4","22q11.1",,
"HGNC:42662","Approved","ABCD1P5","ATP binding cassette subfamily D member 1 pseudogene 5","2p11.1",,
"HGNC:66","Approved","ABCD2","ATP binding cassette subfamily D member 2","12q12",469896,601081
"HGNC:67","Approved","ABCD3","ATP binding cassette subfamily D member 3","1p21.3",469898,170995
"HGNC:68","Approved","ABCD4","ATP binding cassette subfamily D member 4","14q24.3",315413,603214
"HGNC:69","Approved","ABCE1","ATP binding cassette subfamily E member 1","4q31.21",,601213
"HGNC:70","Approved","ABCF1","ATP binding cassette subfamily F member 1","6p21.33",,603429
"HGNC:53628","Approved","ABCF1-DT","ABCF1 divergent transcript","6p21.33",,
"HGNC:71","Approved","ABCF2","ATP binding cassette subfamily F member 2","7q36.1",,612510
"HGNC:54751","Approved","ABCF2-H2BE1","ABCF2-H2BE1 readthrough","7q36.1",,
"HGNC:48841","Approved","ABCF2P1","ATP binding cassette subfamily F member 2 pseudogene 1","3p11.1",,
"HGNC:48842","Approved","ABCF2P2","ATP binding cassette subfamily F member 2 pseudogene 2","7q11.22",,
"HGNC:72","Approved","ABCF3","ATP binding cassette subfamily F member 3","3q27.1",,
"HGNC:73","Approved","ABCG1","ATP binding cassette subfamily G member 1","21q22.3",,603076
"HGNC:74","Approved","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","4q22.1",469900,603756
"HGNC:13884","Approved","ABCG4","ATP binding cassette subfamily G member 4","11q23.3",,607784
"HGNC:13886","Approved","ABCG5","ATP binding cassette subfamily G member 5","2p21",117683,605459
"HGNC:13887","Approved","ABCG8","ATP binding cassette subfamily G member 8","2p21",117685,605460
"HGNC:17553","Approved","ABHD1","abhydrolase domain containing 1","2p23.3",,612195
"HGNC:18717","Approved","ABHD2","abhydrolase domain containing 2, acylglycerol lipase","15q26.1",,612196
"HGNC:18718","Approved","ABHD3","abhydrolase domain containing 3, phospholipase","18q11.2",,612197
"HGNC:20154","Approved","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B","14q11.2",,
"HGNC:21396","Approved","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","3p21.33",117687,604780
"HGNC:21398","Approved","ABHD6","abhydrolase domain containing 6, acylglycerol lipase","3p14.3",,616966
"HGNC:23759","Approved","ABHD8","abhydrolase domain containing 8","19p13.11",,
"HGNC:25656","Approved","ABHD10","abhydrolase domain containing 10, depalmitoylase","3q13.2",,618756
"HGNC:16407","Approved","ABHD11","abhydrolase domain containing 11","7q11.23",,
"HGNC:18289","Approved","ABHD11-AS1","ABHD11 antisense RNA 1 (tail to tail)","7q11.23",,612545
"HGNC:40012","Entry Withdrawn","ABHD11-AS2","ABHD11 antisense RNA 2","7q11.23",,
"HGNC:15868","Approved","ABHD12","abhydrolase domain containing 12, lysophospholipase","20p11.21",239970,613599
"HGNC:19837","Approved","ABHD12B","abhydrolase domain containing 12B","14q22.1",,
"HGNC:20293","Approved","ABHD13","abhydrolase domain containing 13","13q33.3",,
"HGNC:24538","Approved","ABHD14A","abhydrolase domain containing 14A","3p21.2",,618771
"HGNC:38856","Approved","ABHD14A-ACY1","ABHD14A-ACY1 readthrough","3p21.2",,
"HGNC:28235","Approved","ABHD14B","abhydrolase domain containing 14B","3p21.2",,
"HGNC:26971","Approved","ABHD15","abhydrolase domain containing 15","17q11.2",,
"HGNC:49685","Approved","ABHD15-AS1","ABHD15 antisense RNA 1","17q11.2",,
"HGNC:13921","Approved","ABHD16A","abhydrolase domain containing 16A, phospholipase","6p21.33",,142620
"HGNC:16128","Approved","ABHD16B","abhydrolase domain containing 16B","20q13.33",,
"HGNC:28756","Approved","ABHD17A","abhydrolase domain containing 17A, depalmitoylase","19p13.3",,617942
"HGNC:28394","Approved","ABHD17AP1","ABHD17A pseudogene 1","1q21.2",,
"HGNC:34041","Approved","ABHD17AP3","ABHD17A pseudogene 3","1q41",,
"HGNC:34042","Approved","ABHD17AP4","ABHD17A pseudogene 4","22q11.21",,
"HGNC:34043","Approved","ABHD17AP5","ABHD17A pseudogene 5","22q11.22",,
"HGNC:34044","Approved","ABHD17AP6","ABHD17A pseudogene 6","17p11.2",,
"HGNC:38508","Approved","ABHD17AP7","ABHD17A pseudogene 7","16p11.2",,
"HGNC:38509","Approved","ABHD17AP8","ABHD17A pseudogene 8","16p11.2",,
"HGNC:38510","Approved","ABHD17AP9","ABHD17A pseudogene 9","16p11.2",,
"HGNC:24278","Approved","ABHD17B","abhydrolase domain containing 17B, depalmitoylase","9q21.13",,617943
"HGNC:26925","Approved","ABHD17C","abhydrolase domain containing 17C, depalmitoylase","15q25.1",,617944
"HGNC:26111","Approved","ABHD18","abhydrolase domain containing 18","4q28.2",,
"HGNC:11320","Approved","ABI1","abl interactor 1","10p12.1",,603050
"HGNC:20035","Approved","ABI1P1","abl interactor 1 pseudogene 1","14q22.3",,
"HGNC:24011","Approved","ABI2","abl interactor 2","2q33.2",,606442
"HGNC:29859","Approved","ABI3","ABI family member 3","17q21.32",,606363
"HGNC:17265","Approved","ABI3BP","ABI family member 3 binding protein","3q12.2",,606279
"HGNC:1364","Approved","ABITRAM","actin binding transcription modulator","9q31.3",,
"HGNC:39851","Approved","ABITRAMP1","ABITRAM pseudogene 1","13q14.13",,
"HGNC:76","Approved","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","9q34.12",117691,189980
"HGNC:77","Approved","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","1q25.2",,164690
"HGNC:78","Approved","ABLIM1","actin binding LIM protein 1","10q25.3",,602330
"HGNC:19195","Approved","ABLIM2","actin binding LIM protein family member 2","4p16.1",,612544
"HGNC:29132","Approved","ABLIM3","actin binding LIM protein family member 3","5q32",,611305
"HGNC:79","Approved","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","9q34.2",,110300
"HGNC:81","Approved","ABR","ABR activator of RhoGEF and GTPase","17p13.3",,600365
"HGNC:30655","Approved","ABRA","actin binding Rho activating protein","8q23.1",,609747
"HGNC:21230","Approved","ABRACL","ABRA C-terminal like","6q24.1",,
"HGNC:25829","Approved","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","4q21.23",470314,611143
"HGNC:28975","Approved","ABRAXAS2","abraxas 2, BRISC complex subunit","10q26.13",,611144
"HGNC:17369","Approved","ABT1","activator of basal transcription 1","6p22.2",,618750
"HGNC:39557","Approved","ABT1P1","activator of basal transcription 1 pseudogene 1","4q23",,
"HGNC:18275","Approved","ABTB1","ankyrin repeat and BTB domain containing 1","3q21.3",,608308
"HGNC:23842","Approved","ABTB2","ankyrin repeat and BTB domain containing 2","11p13",,
"HGNC:82","Approved","ACAA1","acetyl-CoA acyltransferase 1","3p22.2",469902,604054
"HGNC:83","Approved","ACAA2","acetyl-CoA acyltransferase 2","18q21.1",,604770
"HGNC:84","Approved","ACACA","acetyl-CoA carboxylase alpha","17q12",,200350
"HGNC:85","Approved","ACACB","acetyl-CoA carboxylase beta","12q24.11",,601557
"HGNC:86","Entry Withdrawn","ACAD","acyl-Coenzyme A dehydrogenase, multiple (chr X)",,,
"HGNC:87","Approved","ACAD8","acyl-CoA dehydrogenase family member 8","11q25",123336,604773
"HGNC:21497","Approved","ACAD9","acyl-CoA dehydrogenase family member 9","3q21.3",123334,611103
"HGNC:21597","Approved","ACAD10","acyl-CoA dehydrogenase family member 10","12q24.12",,611181
"HGNC:30211","Approved","ACAD11","acyl-CoA dehydrogenase family member 11","3q22.1",,614288
"HGNC:88","Approved","ACADL","acyl-CoA dehydrogenase long chain","2q34",159889,609576
"HGNC:89","Approved","ACADM","acyl-CoA dehydrogenase medium chain","1p31.1",117700,607008
"HGNC:90","Approved","ACADS","acyl-CoA dehydrogenase short chain","12q24.31",117705,606885
"HGNC:91","Approved","ACADSB","acyl-CoA dehydrogenase short/branched chain","10q26.13",117709,600301
"HGNC:92","Approved","ACADVL","acyl-CoA dehydrogenase very long chain","17p13.1",117713,609575
"HGNC:319","Approved","ACAN","aggrecan","15q26.1",117718,155760
"HGNC:16467","Approved","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","17p13.1",,607763
"HGNC:16469","Approved","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","3q29",,607766
"HGNC:41426","Approved","ACAP2-IT1","ACAP2 intronic transcript 1","3q29",,
"HGNC:16754","Approved","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","1p36.33",,
"HGNC:93","Approved","ACAT1","acetyl-CoA acetyltransferase 1","11q22.3",117724,607809
"HGNC:94","Approved","ACAT2","acetyl-CoA acetyltransferase 2","6q25.3",,100678
"HGNC:15453","Approved","ACBD3","acyl-CoA binding domain containing 3","1q42.12",,606809
"HGNC:40701","Approved","ACBD3-AS1","ACBD3 antisense RNA 1","1q42.12",,
"HGNC:23337","Approved","ACBD4","acyl-CoA binding domain containing 4","17q21.31",,
"HGNC:23338","Approved","ACBD5","acyl-CoA binding domain containing 5","10p12.1",469904,616618
"HGNC:23339","Approved","ACBD6","acyl-CoA binding domain containing 6","1q25.2-q25.3",,616352
"HGNC:17715","Approved","ACBD7","acyl-CoA binding domain containing 7","10p13",,
"HGNC:23989","Approved","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","11p11.2",,608405
"HGNC:34391","Approved","ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like","11p11.2",,
"HGNC:25070","Approved","ACD","ACD shelterin complex subunit and telomerase recruitment factor","16q22.1",419358,609377
"HGNC:2707","Approved","ACE","angiotensin I converting enzyme","17q23.3",117728,106180
"HGNC:13557","Approved","ACE2","angiotensin I converting enzyme 2","Xp22.2",,300335
"HGNC:44365","Approved","ACE3P","angiotensin I converting enzyme 3, pseudogene","17q23.3",,
"HGNC:18356","Approved","ACER1","alkaline ceramidase 1","19p13.3",,613491
"HGNC:23675","Approved","ACER2","alkaline ceramidase 2","9p22.1",,613492
"HGNC:54674","Approved","ACER2P1","ACER2 pseudogene 1","2q33.3",,
"HGNC:16066","Approved","ACER3","alkaline ceramidase 3","11q13.5",,617036
"HGNC:108","Approved","ACHE","acetylcholinesterase (Cartwright blood group)","7q22.1",,100740
"HGNC:17066","Approved","ACIN1","apoptotic chromatin condensation inducer 1","14q11.2",,604562
"HGNC:4035","Approved","ACKR1","atypical chemokine receptor 1 (Duffy blood group)","1q23.2",,613665
"HGNC:1565","Approved","ACKR2","atypical chemokine receptor 2","3p22.1",,602648
"HGNC:23692","Approved","ACKR3","atypical chemokine receptor 3","2q37.3",469906,610376
"HGNC:1611","Approved","ACKR4","atypical chemokine receptor 4","3q22.1",,606065
"HGNC:21142","Approved","ACKR4P1","ACKR4 pseudogene 1","6q24.1",,
"HGNC:114","Entry Withdrawn","ACLS","acrocallosal syndrome","12p13.3-p11.2",,
"HGNC:115","Approved","ACLY","ATP citrate lyase","17q21.2",,108728
"HGNC:116","Entry Withdrawn","ACMG","acromegaly",,,
"HGNC:19288","Approved","ACMSD","aminocarboxymuconate semialdehyde decarboxylase","2q21.3",,608889
"HGNC:34504","Approved","ACNATP","acyl-CoA:amino acid N-acyltransferase pseudogene","9q31.1",,
"HGNC:117","Approved","ACO1","aconitase 1","9p21.1",469908,100880
"HGNC:118","Approved","ACO2","aconitase 2","22q13.2",317699,100850
"HGNC:33904","Approved","ACOD1","aconitate decarboxylase 1","13q22.3",,615275
"HGNC:33128","Approved","ACOT1","acyl-CoA thioesterase 1","14q24.3",,614313
"HGNC:18431","Approved","ACOT2","acyl-CoA thioesterase 2","14q24.3",,609972
"HGNC:19748","Approved","ACOT4","acyl-CoA thioesterase 4","14q24.3",,614314
"HGNC:33159","Approved","ACOT6","acyl-CoA thioesterase 6","14q24.3",,614267
"HGNC:24157","Approved","ACOT7","acyl-CoA thioesterase 7","1p36.31",,602587
"HGNC:15919","Approved","ACOT8","acyl-CoA thioesterase 8","20q13.12",,608123
"HGNC:17152","Approved","ACOT9","acyl-CoA thioesterase 9","Xp22.11",,300862
"HGNC:18156","Approved","ACOT11","acyl-CoA thioesterase 11","1p32.3",,606803
"HGNC:24436","Approved","ACOT12","acyl-CoA thioesterase 12","5q14.1",,614315
"HGNC:20999","Approved","ACOT13","acyl-CoA thioesterase 13","6p22.3",,615652
"HGNC:119","Approved","ACOX1","acyl-CoA oxidase 1","17q25.1",117738,609751
"HGNC:120","Approved","ACOX2","acyl-CoA oxidase 2","3p14.3",469910,601641
"HGNC:121","Approved","ACOX3","acyl-CoA oxidase 3, pristanoyl","4p16.1",,603402
"HGNC:25621","Approved","ACOXL","acyl-CoA oxidase like","2q13",,
"HGNC:41112","Approved","ACOXL-AS1","ACOXL antisense RNA 1","2q13",,
"HGNC:122","Approved","ACP1","acid phosphatase 1","2p25.3",,171500
"HGNC:123","Approved","ACP2","acid phosphatase 2, lysosomal","11p11.2",,171650
"HGNC:125","Approved","ACP3","acid phosphatase 3","3q22.1",,171790
"HGNC:14376","Approved","ACP4","acid phosphatase 4","19q13.33",,606362
"HGNC:124","Approved","ACP5","acid phosphatase 5, tartrate resistant","19p13.2",259358,171640
"HGNC:29609","Approved","ACP6","acid phosphatase 6, lysophosphatidic","1q21.2",469912,611471
"HGNC:33781","Approved","ACP7","acid phosphatase 7, tartrate resistant (putative)","19q13.2",,610490
"HGNC:126","Approved","ACR","acrosin","22q13.33",,102480
"HGNC:17195","Approved","ACRBP","acrosin binding protein","12p13.31",,608352
"HGNC:54745","Approved","ACRP1","ACR pseudogene 1","2q14.1",,
"HGNC:127","Approved","ACRV1","acrosomal vesicle protein 1","11q24.2",,102525
"HGNC:29567","Approved","ACSBG1","acyl-CoA synthetase bubblegum family member 1","15q25.1",,614362
"HGNC:24174","Approved","ACSBG2","acyl-CoA synthetase bubblegum family member 2","19p13.3",,614363
"HGNC:26101","Approved","ACSF2","acyl-CoA synthetase family member 2","17q21.33",,610465
"HGNC:27288","Approved","ACSF3","acyl-CoA synthetase family member 3","16q24.3",289511,614245
"HGNC:3569","Approved","ACSL1","acyl-CoA synthetase long chain family member 1","4q35.1",,152425
"HGNC:3570","Approved","ACSL3","acyl-CoA synthetase long chain family member 3","2q36.1",,602371
"HGNC:40227","Approved","ACSL3-AS1","ACSL3 antisense RNA 1","2q36.1",,
"HGNC:3571","Approved","ACSL4","acyl-CoA synthetase long chain family member 4","Xq23",117743,300157
"HGNC:16526","Approved","ACSL5","acyl-CoA synthetase long chain family member 5","10q25.2",,605677
"HGNC:16496","Approved","ACSL6","acyl-CoA synthetase long chain family member 6","5q31.1",,604443
"HGNC:40772","Approved","ACSL6-AS1","ACSL6 antisense RNA 1","5q31.1",,
"HGNC:18049","Approved","ACSM1","acyl-CoA synthetase medium chain family member 1","16p12.3",,614357
"HGNC:32017","Approved","ACSM2A","acyl-CoA synthetase medium chain family member 2A","16p12.3",,614358
"HGNC:30931","Approved","ACSM2B","acyl-CoA synthetase medium chain family member 2B","16p12.3",,614359
"HGNC:10522","Approved","ACSM3","acyl-CoA synthetase medium chain family member 3","16p12.3",,145505
"HGNC:32016","Approved","ACSM4","acyl-CoA synthetase medium chain family member 4","12p13.31",,614360
"HGNC:26060","Approved","ACSM5","acyl-CoA synthetase medium chain family member 5","16p12.3",,614361
"HGNC:51295","Approved","ACSM5P1","acyl-CoA synthetase medium chain family member 5 pseudogene 1","16p12.3",,
"HGNC:31665","Approved","ACSM6","acyl-CoA synthetase medium chain family member 6","10q23.33",,
"HGNC:16091","Approved","ACSS1","acyl-CoA synthetase short chain family member 1","20p11.21",,614355
"HGNC:15814","Approved","ACSS2","acyl-CoA synthetase short chain family member 2","20q11.22",,605832
"HGNC:24723","Approved","ACSS3","acyl-CoA synthetase short chain family member 3","12q21.31",,614356
"HGNC:129","Approved","ACTA1","actin alpha 1, skeletal muscle","1q42.13",117750,102610
"HGNC:130","Approved","ACTA2","actin alpha 2, smooth muscle","10q23.31",138831,102620
"HGNC:45169","Approved","ACTA2-AS1","ACTA2 antisense RNA 1","10q23.31",,
"HGNC:132","Approved","ACTB","actin beta","7p22.1",159893,102630
"HGNC:17780","Approved","ACTBL2","actin beta like 2","5q11.2",,614835
"HGNC:134","Approved","ACTBP1","ACTB pseudogene 1","Xp11.3",,
"HGNC:135","Approved","ACTBP2","ACTB pseudogene 2","5q14.1",,
"HGNC:136","Approved","ACTBP3","ACTB pseudogene 3","18q21.33",,
"HGNC:137","Approved","ACTBP4","ACTB pseudogene 4","5q31.1",,
"HGNC:138","Entry Withdrawn","ACTBP5","actin, beta pseudogene 5","7q36.1",,
"HGNC:139","Approved","ACTBP6","ACTB pseudogene 6","8q21.2",,
"HGNC:140","Approved","ACTBP7","ACTB pseudogene 7","15q15.3",,
"HGNC:141","Approved","ACTBP8","ACTB pseudogene 8","6q15",,
"HGNC:142","Approved","ACTBP9","ACTB pseudogene 9","18q21.33",,
"HGNC:31819","Approved","ACTBP10","ACTB pseudogene 10","14q11.2",,
"HGNC:33971","Approved","ACTBP11","ACTB pseudogene 11","1q41",,
"HGNC:150","Approved","ACTBP12","ACTB pseudogene 12","1p22.1",,
"HGNC:44626","Approved","ACTBP13","ACTB pseudogene 13","3p21.31",,
"HGNC:45086","Approved","ACTBP14","ACTB pseudogene 14","10q22.1",,
"HGNC:55065","Approved","ACTBP15","ACTB pseudogene 15","22q13.2",,
"HGNC:143","Approved","ACTC1","actin alpha cardiac muscle 1","15q14",117753,102540
"HGNC:51491","Approved","ACTE1P","actin epsilon 1, pseudogene","11q13.4",,
"HGNC:144","Approved","ACTG1","actin gamma 1","17q25.3",166815,102560
"HGNC:146","Approved","ACTG1P1","actin gamma 1 pseudogene 1","3q23",,
"HGNC:147","Approved","ACTG1P2","actin gamma 1 pseudogene 2","Yq11.222",,
"HGNC:148","Approved","ACTG1P3","actin gamma 1 pseudogene 3","20p13",,
"HGNC:149","Approved","ACTG1P4","actin gamma 1 pseudogene 4","1p21.1",,
"HGNC:151","Approved","ACTG1P6","actin gamma 1 pseudogene 6","1p21",,
"HGNC:152","Approved","ACTG1P7","actin gamma 1 pseudogene 7","1p21",,
"HGNC:153","Approved","ACTG1P8","actin gamma 1 pseudogene 8","1p21",,
"HGNC:154","Approved","ACTG1P9","actin gamma 1 pseudogene 9","6p12.3",,
"HGNC:155","Approved","ACTG1P10","actin gamma 1 pseudogene 10","Xp11.22",,
"HGNC:37651","Approved","ACTG1P11","actin gamma 1 pseudogene 11","Yq11.222",,
"HGNC:44496","Approved","ACTG1P12","actin gamma 1 pseudogene 12","3p25.2",,
"HGNC:49058","Approved","ACTG1P13","actin gamma 1 pseudogene 13","3q12.1",,
"HGNC:49751","Approved","ACTG1P14","actin gamma 1 pseudogene 14","9p24.1",,
"HGNC:51495","Approved","ACTG1P15","actin gamma 1 pseudogene 15","15q14",,
"HGNC:51496","Approved","ACTG1P16","actin gamma 1 pseudogene 16","16q12.1",,
